Intel Core i5-10300H.CPU Core #1.Load,Intel Core i5-10300H.CPU Core #2.Load,Intel Core i5-10300H.CPU Core #3.Load,Intel Core i5-10300H.CPU Core #4.Load,Intel Core i5-10300H.CPU Total.Load,Intel Core i5-10300H.CPU Core #1.Temperature,Intel Core i5-10300H.CPU Core #2.Temperature,Intel Core i5-10300H.CPU Core #3.Temperature,Intel Core i5-10300H.CPU Core #4.Temperature,Intel Core i5-10300H.CPU Package.Temperature,Intel Core i5-10300H.CPU Core #1.Clock,Intel Core i5-10300H.CPU Core #2.Clock,Intel Core i5-10300H.CPU Core #3.Clock,Intel Core i5-10300H.CPU Core #4.Clock,Intel Core i5-10300H.CPU Package.Power,Intel Core i5-10300H.CPU Cores.Power,Intel Core i5-10300H.CPU Graphics.Power,Intel Core i5-10300H.CPU DRAM.Power,Intel Core i5-10300H.Bus Speed.Clock,Generic Memory.Memory.Load,Generic Memory.Used Memory.Data,Generic Memory.Available Memory.Data,NVIDIA NVIDIA GeForce GTX 1650 Ti.GPU Core.Temperature,NVIDIA NVIDIA GeForce GTX 1650 Ti.GPU Core.Clock,NVIDIA NVIDIA GeForce GTX 1650 Ti.GPU Memory.Clock,NVIDIA NVIDIA GeForce GTX 1650 Ti.GPU Shader.Clock,NVIDIA NVIDIA GeForce GTX 1650 Ti.GPU Core.Load,NVIDIA NVIDIA GeForce GTX 1650 Ti.GPU Frame Buffer.Load,NVIDIA NVIDIA GeForce GTX 1650 Ti.GPU Video Engine.Load,NVIDIA NVIDIA GeForce GTX 1650 Ti.GPU Bus Interface.Load,NVIDIA NVIDIA GeForce GTX 1650 Ti.GPU Memory Total.SmallData,NVIDIA NVIDIA GeForce GTX 1650 Ti.GPU Memory Used.SmallData,NVIDIA NVIDIA GeForce GTX 1650 Ti.GPU Memory Free.SmallData,NVIDIA NVIDIA GeForce GTX 1650 Ti.GPU Memory.Load,NVIDIA NVIDIA GeForce GTX 1650 Ti.GPU Power.Power,NVIDIA NVIDIA GeForce GTX 1650 Ti.GPU PCIE Rx.Throughput,NVIDIA NVIDIA GeForce GTX 1650 Ti.GPU PCIE Tx.Throughput,WDC WD5000LPLX-21ZNTT0.Temperature.Temperature,WDC WD5000LPLX-21ZNTT0.Used Space.Load,KBG40ZNS512G NVMe KIOXIA 512GB.Temperature.Temperature,KBG40ZNS512G NVMe KIOXIA 512GB.Used Space.Load
3.8461566,0,4.6153841,6.15384579,3.65384817,60,61,58,59,62,2496.00854,2496.00854,2496.00854,2496.00854,17.761631,15.0244188,0.298804134,1.02366304,99.8403397,92.7168503,7.23054504,0.567977905,57,1350.00012,6000.98438,0,0,0,0,0,4096,738.734375,3357.26562,18.0355072,16.1120014,0,0,38,55.3605995,52,68.8904877
0,0.735294819,0,0,0.183820724,58,59,56,56,60,2496.00879,2496.00879,2496.00879,2496.00879,4.11130953,1.83636153,0.0349026211,0.801377952,99.8403473,92.7372971,7.23213959,0.566383362,57,1350.00012,6000.98438,0,0,0,0,0,4096,738.734375,3357.26562,18.0355072,16.1290016,0,0,38,55.3605995,52,68.8904877
0.78125,0.78125,0,0.78125,0.5859375,57,58,55,55,60,2496.00952,2496.00952,2496.00952,2496.00952,4.0529623,1.80279219,0.00603083149,0.785165548,99.8403778,92.7567215,7.23365402,0.564868927,57,1350.00012,6000.98438,0,0,0,0,0,4096,738.734375,3357.26562,18.0355072,16.0960007,0,0,38,55.3605995,52,68.8904877
0,1.47058964,0,0,0.367647409,57,58,55,55,60,2496.00903,2496.00903,2496.00903,2496.00903,3.55256438,1.31747842,0.0187043715,0.780173719,99.8403625,92.7549057,7.23351288,0.565010071,57,1350.00012,6000.98438,0,0,0,0,0,4096,738.734375,3357.26562,18.0355072,16.1450005,0,0,38,55.3605995,52,68.8904877
0,0.735294819,0,0,0.183820724,56,57,54,54,59,2496.00854,2496.00854,2496.00854,2496.00854,3.47153044,1.26888084,0,0.77241236,99.8403397,92.5984268,7.22130966,0.577213287,56,1350.00012,6000.98438,0,0,0,0,0,4096,738.734375,3357.26562,18.0355072,16.0880013,0,0,38,55.3605995,52,68.8904877
0,0,0,0,0,57,57,54,54,59,4392.97607,4193.29541,3893.77417,2496.00903,3.75245023,1.54126191,0,0.774400592,99.8403625,92.2971573,7.19781494,0.600708008,56,1350.00012,6000.98438,0,0,0,0,0,4096,738.734375,3357.26562,18.0355072,16.0380001,0,0,38,55.3605995,52,68.8904877
0,1.53846145,0,0,0.384616852,56,57,54,54,59,2496.00928,2496.00928,2496.00928,2496.00928,3.22213316,1.02228177,0,0.776439726,99.8403702,92.1439056,7.18586349,0.612659454,56,1350.00012,6000.98438,0,0,0,0,0,4096,738.734375,3357.26562,18.0355072,16.0700016,0,0,38,55.3605995,52,68.8904877
0,0,0,0,0,56,57,54,54,58,2496.00903,2496.00903,2496.00903,2496.00903,3.35791922,1.16465676,0,0.769384205,99.8403625,92.1402359,7.18557739,0.612945557,56,1350.00012,6000.98438,0,0,0,0,0,4096,738.734375,3357.26562,18.0355072,16.0510006,0,0,38,55.3605995,52,68.8904877
0.78125,1.5625,0,0.78125,0.78125,57,58,57,56,60,3294.73242,2496.00952,2496.00952,2496.00952,5.17237091,2.95094943,0,0.779090703,99.8403778,91.9385529,7.1698494,0.628673553,56,1350.00012,6000.98438,0,0,0,0,0,4096,738.734375,3357.26562,18.0355072,15.9890003,0,0,38,55.3605995,52,68.8904877
0,0,0,0,0,56,57,54,54,58,2496.0083,2496.0083,2496.0083,2496.0083,3.15285611,0.959419549,0,0.76845789,99.8403397,91.9308243,7.16924667,0.629276276,56,1350.00012,6000.98438,0,0,0,0,0,4096,738.734375,3357.26562,18.0355072,16.012001,0,0,38,55.3605995,52,68.8904877
